19:19:45.003 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
19:19:45.246 [main] INFO  o.a.c.c.StandardService - [log,180] - Stopping service [Tomcat]
19:20:55.850 [main] INFO  i.s.b.c.BackendCommonApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
19:20:57.023 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-8080"]
19:20:57.032 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
19:20:57.032 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
19:20:57.038 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
19:20:57.112 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
19:20:58.439 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Starting ProtocolHandler ["http-nio-8080"]
19:20:58.450 [main] INFO  o.a.t.u.n.NioSelectorPool - [log,180] - Using a shared selector for servlet write/read
19:20:58.464 [main] INFO  i.s.b.c.BackendCommonApplication - [logStarted,59] - Started BackendCommonApplication in 3.627 seconds (JVM running for 4.509)
19:21:02.860 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring FrameworkServlet 'dispatcherServlet'
19:21:03.506 [http-nio-8080-exec-1] INFO  c.a.d.p.DruidDataSource - [init,930] - {dataSource-1} inited
19:22:27.728 [Thread-13] INFO  c.a.d.p.DruidDataSource - [close,1825] - {dataSource-1} closed
20:29:13.966 [main] INFO  i.s.b.c.BackendCommonApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
20:29:15.160 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-8081"]
20:29:15.169 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
20:29:15.169 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
